time/s	                cycle number	        ox/red	Ewe/V	        I/mA	        Capacity/mA.h	Unnamed: 6
401783.6401815712	26.0	0	3.8442652	-90.008644	2.560866004037221	
401784.695380792	26.0	0	3.8432534	-90.011833	2.587248264472113	
401785.7653799877	26.0	0	3.8422415	-90.006729	2.614000541345384	
401786.8123792075	26.0	0	3.8412299	-90.009277	2.640177736155616	
401787.8927784003	26.0	0	3.840199	-89.998451	2.66719000917477	
401788.9625776005	26.0	0	3.8391871	-90.008003	2.693937207092709	
401789.9943768322	26.0	0	3.8381753	-90.008003	2.719734295801798	
401791.1375759877	26.0	0	3.8371637	-90.001625	2.74831661729304	
401792.2463751566	26.0	0	3.8361518	-90.004181	2.776038894378238	
401793.2181744344	26.0	0	3.8351209	-90.008003	2.800335905456966	
401794.4147735499	26.0	0	3.8341091	-90.006729	2.830253314534505	
401795.4885727391	26.0	0	3.8330591	-90.008644	2.857100488413492	
401796.656571873	26.0	0	3.8320475	-90.0131	2.886302831164465	
401797.7787710349	26.0	0	3.8310165	-90.008644	2.914360181418948	
401798.9035701968	26.0	0	3.8300047	-90.004814	2.942482529960208	
401799.9731694045	26.0	0	3.8289931	-90.004181	2.96922473123847	
401801.1099685542	26.0	0	3.8279812	-90.006096	2.997647049454582	
401802.2505677052	26.0	0	3.8269694	-90.010551	3.026164348511589	
401803.4185668379	26.0	0	3.8259194	-90.004814	3.055366744964599	
401804.5503659882	26.0	0	3.8248885	-90.006729	3.083664064682006	
401805.7223651202	26.0	0	3.8238769	-90.004181	3.112966432842254	
401806.8933642432	26.0	0	3.8228459	-90.005455	3.142243778297847	
401808.0755633675	26.0	0	3.821815	-90.006096	3.17180115954293	
401809.2517624898	26.0	0	3.8208032	-90.009918	3.201208573381635	
401810.4325616057	26.0	0	3.8197916	-90.008644	3.230731015333387	
401811.5339607899	26.0	0	3.8187797	-90.006729	3.258268305998907	
401812.6951599303	26.0	0	3.8177488	-90.004181	3.287300658314598	
401813.8681590431	26.0	0	3.8167179	-90.004814	3.316628016990661	
401814.9771582298	26.0	0	3.8156869	-90.005455	3.344355273038227	
401816.2635572664	26.0	0	3.8146753	-90.008003	3.376517900427923	
401817.4443563907	26.0	0	3.8136444	-90.008003	3.406040315639919	
401818.6529554822	26.0	0	3.8126135	-90.015007	3.43625785618676	
401819.7899546437	26.0	0	3.8116016	-90.002274	3.464685234779781	
401821.0409537107	26.0	0	3.8105135	-90.009277	3.495962841940561	
401822.3419527345	26.0	0	3.8095019	-90.006729	3.528490485597398	
401823.5475518368	26.0	0	3.8084519	-90.010551	3.558632967378827	
401824.7757509183	26.0	0	3.807421	-90.008003	3.589340508511012	
401826.0217499882	26.0	0	3.8064091	-90.006096	3.620493120527054	
401827.2313490957	26.0	0	3.8053782	-90.008644	3.650735698337978	
401828.4861481562	26.0	0	3.8042328	-90.009277	3.682108395727369	
401829.8797471225	26.0	0	3.8032212	-90.009277	3.716951429615868	
401831.0295462615	26.0	0	3.8022094	-90.006729	3.745698916133456	
401832.2781453307	26.0	0	3.8011975	-90.011185	3.776916604046715	
401833.5345443983	26.0	0	3.8001666	-90.006096	3.80832929927402	
401834.8017434478	26.0	0	3.799155	-90.006096	3.840011986063639	
401836.034342536	26.0	0	3.7981431	-90.008003	3.870829585029602	
401837.2809416052	26.0	0	3.7971313	-90.00354	3.901997225424025	
401838.6015406288	26.0	0	3.7960622	-90.005455	3.935015119814555	
401839.8925396577	26.0	0	3.7950504	-90.008644	3.967292902109358	
401841.1463387199	26.0	0	3.7940388	-90.006729	3.998640547329373	
401842.4023377877	26.0	0	3.7929888	-90.011185	4.030043253162808	
401843.7177368085	26.0	0	3.7919579	-90.009277	4.062931077356127	
401845.0363358306	26.0	0	3.790946	-90.004814	4.095898831648933	
401846.300334882	26.0	0	3.7899153	-90.011185	4.127501613190545	
401847.6131339036	26.0	0	3.7888653	-90.010551	4.16032443333096	
401848.8823329681	26.0	0	3.7878535	-90.006096	4.192057171134949	
401850.1899319889	26.0	0	3.7868226	-90.002274	4.224749983325535	
401851.505331011	26.0	0	3.7858107	-90.008003	4.257637815801833	
401852.7133301031	26.0	0	3.7847991	-90.006096	4.287840401617263	
401854.087329078	26.0	0	3.7837682	-89.999718	4.322193316482969	
401855.3605281338	26.0	0	3.7827373	-90.014374	4.35402601251687	
401856.7041271329	26.0	0	3.7817254	-90.008644	4.387618833250259	
401857.9665261914	26.0	0	3.7807138	-90.005455	4.419181468056998	
401859.2977252007	26.0	0	3.7797019	-90.002907	4.45246427702374	
401860.6229242124	26.0	0	3.7786901	-90.013741	4.485597046902975	
401861.940923234	26.0	0	3.7776783	-90.007362	4.518549795898438	
401863.2143222806	26.0	0	3.7766666	-90.006096	4.550387403149499	
401864.5629212791	26.0	0	3.7756357	-90.005455	4.58410523304791	
401865.9263202585	26.0	0	3.7746239	-90.009918	4.61819312161043	
401867.2555192765	26.0	0	3.7735357	-90.011185	4.651425971804725	
401868.6945182066	26.0	0	3.7725239	-90.006729	4.687404011231741	
401870.0469171926	26.0	0	3.7714932	-90.008003	4.721216814011468	
401871.3923161887	26.0	0	3.7704432	-90.006096	4.754854665874905	
401872.8223151304	26.0	0	3.7694314	-90.010551	4.790607661198511	
401874.1291141533	26.0	0	3.7684195	-90.009277	4.823280406246186	
401875.4423131761	26.0	0	3.7673886	-90.006729	4.856113170872582	
401876.8849121034	26.0	0	3.7663388	-90.00354	4.892181244608562	
401878.247311081	26.0	0	3.765327	-90.004181	4.926244122101254	
401879.6457100362	26.0	0	3.7643151	-90.013741	4.961206995730082	
401881.012309026	26.0	0	3.7633033	-90.008644	4.99537481023746	
401882.3465080301	26.0	0	3.7622917	-89.997803	5.028732584550221	
401883.8075069371	26.0	0	3.7612607	-90.004814	5.065260598611196	
401885.2155058892	26.0	0	3.7602489	-90.011185	5.10046347104348	
